品種名,母,父,不明親,登録年,登録者,メモ,出典
(14×5_2)×8_2,14×5_2,とよのか,,,,,
(リンダモール×Cruz)×女峰,リンダモール×Cruz,女峰,,,,,
(久留米促成3号×宝交早生)×(Donner×宝交早生),久留米促成3号×宝交早生,Donner×宝交早生,,,,,
00_23001,99_02505,98_17123,,,,,
00_24_1,98_28_2,とねほっぺ,,,,,
00_28401,99_03952,98_15504,,,,,
00_4_2,98_4_2,97_4_5,,,,,
01_116,96_15,栃の峰,,,,,
01_1_5,99_8,芳玉,,,,,
01_23_4,アスカルビー,久留米54号,,,,,
02_19,01_116,01_116,,,,,
02_3_4,99_5_2,00_4_2,,,,,
03042_08,不明,不明,,,,"久留米48号，さつまおとめ, さがほのかの多元交配による",
03_1_6,熊研い548(ひのしずく),さがほのか,,,,,
03_61_1,さつまおとめ,sunangel,,,,,
04_5_1,01_23_4,とちおとめ,,,,,
05_2_5,02_3_4,00_4_2,,,,,
05_51_1,03_61_1,とちおとめ,,,,,
06sAB_4e,なつあかり,盛岡30号,,,,,
07_13_1,熊研い548(ひのしずく),03_1_6,,,,,
07_26_3,05_51_1,04_5_1,,,,,
09_48_5,栃木26号,栃木素材2号,,,,,
09_52_1,栃木26号,98_7_3,,,,,
10133_03,かおり野,章姫,,,,,
103Hk_11,久留米103号,宝交早生,,,,,
14×5_16,アイベリー,宝交早生,,,,,
14×5_2,アイベリー,宝交早生,,,,,
15,X_2,アイベリー,,,,,
1_7_9,アスカウェイブ,女峰,,,,,
22_19_1,さちのか,とちおとめ,,,,,
23_1_33,古都華,とちおとめ,,,,,
24_5_C,古都華,かおり野,,,,,
2_8,Fairfax,Ettersburg実生系統,,,,,
2rd generation from Sharpless×Parry,Sharpless×Parry,不明,,,,,
3_31_3,とよのか,濃姫,,,,,
3rd generation from Sharpless×Parry,2rd generation from Sharpless×Parry,不明,,,,,
44_3_5,Donner(ダナー),K_34,,,,,
47_1_12,促成_50号,D_40,,,,,
50_2_2,促成_50号,44_3_5,,,,,
52_1_32,うずしお,47_1_12,,,,,
55/6_996,ベルルージュ,女峰,,,,,
59交13_37,Aiko,盛岡19号,,,,,
5_2,X_1,とよのか,,,,,
63_2_3,女峰,宝交早生,,,,,
69_1320,florida 90,Tioga,,,,,
71_189,69_1320,Tioga,,,,,
77_36,huxley,Albriton,,,,,
7_3_1,さちのか,1_7_9,,,,,
8267_01,宝交早生,明宝,,,,,
83118_41,florida693,ひのみね,,,,,
8821_11,不明,不明,,,,情報を募集しています。野菜・茶業試験場久留米支場から導入されたとのこと,
8905_28,大鈴,アイベリー,,,,,
89_81_69,Albriton,Donner(ダナー),,,,,
89_96_61,はるよい,盛岡20号,,,,,
90_001,とよのか,アイベリー,,,,,
90_003,とよのか,宝交早生,,,,,
90_007,女峰,宝交早生,,,,,
90_008,女峰,宝交早生,,,,,
90_013,アイベリー,とよのか,,,,,
90_014,アイベリー,宝交早生,,,,,
90_017,宝交早生,とよのか,,,,,
90_021,宝交早生,女峰,,,,,
90_032,女峰,女峰,,,,,
90_051,とよのか,とよのか,,,,,
90_3_11,不明,不明,,,,,
91_003,90_003,90_003,,,,,
91_005,90_008,90_008,,,,,
91_006,90_013,90_013,,,,,
91_007,90_014,90_014,,,,,
91_008,90_017,90_017,,,,,
91_009,90_021,90_021,,,,,
92_0122,女峰,90_001,,,,,
92_3320,90_008,90_001,,,,,
92_46,久留米49号,さちのか,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12573&LANGUAGE=Japanese
92_5106,90_032,90_007,,,,,
92_7802,91_005,91_003,,,,,
92_8416,91_006,91_009,,,,,
92_9220,91_008,91_009,,,,,
92_9513,91_009,91_005,,,,,
93_10710,92_0122,91_007,,,,,
93_12306,92_3320,91_007,,,,,
93_12702,92_5106,91_007,,,,,
93_15615,92_7802,91_007,,,,,
93_16901,92_8416,91_007,,,,,
93_19101,92_9220,91_007,,,,,
93_20307,92_9513,91_007,,,,,
93_23_7,不明,不明,,,,,
94_2_15,90_3_11,章姫,,,,,
94_2_8,不明,不明,,,,"栃の峰、さちのかを素材しているとのこと(重野ら, 2015)",
9505_05,D8_04,8267_01,,,,,
95_08804,93_16901,93_15615,,,,,
95_10005,93_19101,93_12702,,,,,
95_12702,93_20307,93_123_06,,,,,
95_6_14,15,さがほのか,,,,,
96_00550,93_10710,93_19101,,,,,
96_01_001,とねほっぺ,とちおとめ,,,,,
96_02153,93_19101,93_10710,,,,,
96_15,みつる,章姫,,,,,
96_17_1,紅ほっぺ,炭強20,,,,,
96_4_1,紅ほっぺ,93_23_7,,,,,
9702_375,とねほっぺ,とちおとめ,,,,,
97_05606,95_10005,サンチーゴ,,,,,
97_12601,96_02153,サンチーゴ,,,,,
97_17901,96_02153,あかしゃのみつこ,,,,,
97_20402,95_08804,章姫,,,,,
97_21701,95_12702,章姫,,,,,
97_4_5,紅ほっぺ,94_2_15,,,,,
97_5_8,95_6_14,さがほのか,,,,,
97_9_1,95_6_14,佐系8号,,,,,
98_15504,97_17901,97_21701,,,,,
98_17123,97_20402,96_00550,,,,,
